돌발 id	배경	이름	표정	내용
1	아파트 내부 전선 그림같은거(혹은 검은화면)	신세리	1	....
		신세리	1	너...
		신세리	2	조수로써 재능있는데?
		서신평	3	쉘터는 제대로 닫힌건가?
		신세리	1	쉘터는 닫혔지만, 혹시 모르지 벌써 괴물이 옥상에 올라갔을지 누가 알아?
			2	움직이는 속도 못 봤어~?
		서신평	3	"... 
유화설한테 올라가봐야겠네."
		신세리	2	이 아저씨가, 미쳤지 아주?
			1	그래, 그러다 뒤지든지 말든지 맘대로 해.
			2	난 내려가 있는다. 너무 늦으면 죽은줄 알고있을게~
		독백		신세리가 먼저 내려간다.
				서신평이 걱정하며 외길로 진입한다
		유화설	1	둘다... 안내려가고 뭐해요?
		서신평	1	...
		서신평	2	큼.., 자네한테 빚을 졌군 한동안 방범은 쉬도록 하게..
		유화설	2	후후. 방범할 거주지는 다 박살났지만요~
		독백		내려가 정문을 나서니 숨어있던 신세리가 풀숲에서 나와 우리와 합류했다
				쿠오오오오오!
				옥상에서 흉표한 하울링이 들려온다.
				우리는 장소를 이동하기로 했다. 괴물의 울음소리가 닿지 않을 곳까지.
				우리는 어떻게든 살아남았다.
				[희귀단서2 획득]
