돌발 id	배경	이름	표정	내용
1	아파트 내부 전선 그림같은거(혹은 검은화면)	신세리	3	"...
쯧. 방어벽 해석이 너무 늦어."
		정윤우	3	....
		독백		쿠오오오오오오!!!!!!
				아래쪽에서부터 흉포한 울음소리가 이곳 천장까지 울린다.
		서신평	3	!!!
		신세리	3	...
		서신평		설마... 
		신세리	3	접근 방어벽을 이제 막 뚫었어. 쉘터를 닫을게.
		신세리	2	아직 괴물이 옥상에 도착했다고 확정된건 아니잖아~?
		서신평	3	안되겠네. 위로 올라가 봐야겠어!
		신세리	2	이 아저씨가, 미쳤지 아주?
		신세리	1	"네가 제일 잘 알텐데. 
만약 계단에 가두지 못했다면 괴물을 정면에선 당해낼 수 없어."
		신세리	1	"뭐, 제때 가뒀다면 유화설이 알아서 내려올거야. 
가두지 못했다고 하더라도 유화설이라면 이쪽 외길로 몰래 빠져나올지도 몰라. "
			2	기다려주는 것만으로 우린 할 일을 다한거라구~
		서신평	4	...
		정윤우	3	...
	검은화면	독백		우리는 정문 근처 은밀한 풀숲에서 유화설을 기다렸다.
				쿠오오오!! 
				다시 들려오기 시작하는 하울링.
				하지만 그 소리가 점점 멀어지는데도 유화설은 건물밖으로 나오지 않았다.
				괴물의 소리가 완전히 멎자 뒤늦게 건물 내부로 들어가봤지만...
				유화설은 어디에도 보이지 않았다.
				[스트레스 최소치 20 증가]
